2019-03-14 13:06:01.8891 | INFO | Application start
2019-03-14 15:18:13.1511 | INFO | Application start
2019-03-14 15:18:37.3018 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:18:37.3163 | INFO | Book was getted book=Test book
2019-03-14 15:18:37.3203 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:18:37.3518 | INFO | Book contains cycle = False
2019-03-14 15:18:37.3518 | INFO | maxDepth = 1
2019-03-14 15:18:37.3893 | INFO | elChapters calculated
2019-03-14 15:18:37.3893 | INFO | AllChapters processed
2019-03-14 15:18:37.3893 | INFO | SetVisualParent
2019-03-14 15:18:37.4033 | INFO | We are created BookWithChaptersV2
2019-03-14 15:18:37.4033 | INFO | front model done
2019-03-14 15:18:53.4223 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:18:53.4568 | INFO | Book was getted book=Test book
2019-03-14 15:18:53.4568 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:18:53.5537 | INFO | Book contains cycle = False
2019-03-14 15:18:53.5537 | INFO | maxDepth = 3
2019-03-14 15:18:53.6228 | INFO | elChapters calculated
2019-03-14 15:18:53.6228 | INFO | AllChapters processed
2019-03-14 15:18:53.6329 | INFO | SetVisualParent
2019-03-14 15:18:53.6529 | INFO | We are created BookWithChaptersV2
2019-03-14 15:18:53.6529 | INFO | front model done
2019-03-14 15:20:02.2197 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:20:02.3048 | INFO | Book was getted book=Test book
2019-03-14 15:20:02.3048 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:20:02.4509 | INFO | Book contains cycle = False
2019-03-14 15:20:02.4509 | INFO | maxDepth = 3
2019-03-14 15:20:02.6296 | INFO | elChapters calculated
2019-03-14 15:20:02.6316 | INFO | AllChapters processed
2019-03-14 15:20:02.6316 | INFO | SetVisualParent
2019-03-14 15:20:02.6316 | INFO | We are created BookWithChaptersV2
2019-03-14 15:20:02.6316 | INFO | front model done
2019-03-14 15:20:16.8680 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:20:16.9131 | INFO | Book was getted book=Test book
2019-03-14 15:20:16.9131 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:20:16.9606 | INFO | Book contains cycle = False
2019-03-14 15:20:16.9606 | INFO | maxDepth = 3
2019-03-14 15:20:17.0542 | INFO | elChapters calculated
2019-03-14 15:20:17.0542 | INFO | AllChapters processed
2019-03-14 15:20:17.0542 | INFO | SetVisualParent
2019-03-14 15:20:17.0542 | INFO | We are created BookWithChaptersV2
2019-03-14 15:20:17.0542 | INFO | front model done
2019-03-14 15:20:38.9895 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:20:38.9960 | INFO | Book was getted book=Test book
2019-03-14 15:20:38.9960 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:20:38.9960 | INFO | Book contains cycle = False
2019-03-14 15:20:38.9960 | INFO | maxDepth = 3
2019-03-14 15:20:39.0475 | INFO | elChapters calculated
2019-03-14 15:20:39.0475 | INFO | AllChapters processed
2019-03-14 15:20:39.0475 | INFO | SetVisualParent
2019-03-14 15:20:39.0475 | INFO | We are created BookWithChaptersV2
2019-03-14 15:20:39.0475 | INFO | front model done
2019-03-14 15:20:57.5132 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:20:57.8459 | INFO | Book was getted book=Test book
2019-03-14 15:20:57.8459 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:20:58.2617 | INFO | Book contains cycle = False
2019-03-14 15:20:58.2617 | INFO | maxDepth = 3
2019-03-14 15:20:58.7926 | INFO | elChapters calculated
2019-03-14 15:20:58.7926 | INFO | AllChapters processed
2019-03-14 15:20:58.7926 | INFO | SetVisualParent
2019-03-14 15:20:59.0661 | INFO | We are created BookWithChaptersV2
2019-03-14 15:20:59.0661 | INFO | front model done
2019-03-14 15:21:13.8333 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:21:14.0034 | INFO | Book was getted book=Test book
2019-03-14 15:21:14.0034 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:21:14.2570 | INFO | Book contains cycle = False
2019-03-14 15:21:14.2580 | INFO | maxDepth = 3
2019-03-14 15:21:14.3551 | INFO | elChapters calculated
2019-03-14 15:21:14.3551 | INFO | AllChapters processed
2019-03-14 15:21:14.3551 | INFO | SetVisualParent
2019-03-14 15:21:14.3551 | INFO | We are created BookWithChaptersV2
2019-03-14 15:21:14.3551 | INFO | front model done
2019-03-14 15:22:33.7995 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:22:33.8824 | INFO | Book was getted book=Test book
2019-03-14 15:22:33.8824 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:22:34.2952 | INFO | Book contains cycle = False
2019-03-14 15:22:34.2952 | INFO | maxDepth = 3
2019-03-14 15:22:34.3972 | INFO | elChapters calculated
2019-03-14 15:22:34.4001 | INFO | AllChapters processed
2019-03-14 15:22:34.4001 | INFO | SetVisualParent
2019-03-14 15:22:34.4166 | INFO | We are created BookWithChaptersV2
2019-03-14 15:22:34.4166 | INFO | front model done
2019-03-14 15:23:47.6593 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:23:47.7048 | INFO | Book was getted book=Test book
2019-03-14 15:23:47.7048 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:23:47.7811 | INFO | Book contains cycle = False
2019-03-14 15:23:47.7811 | INFO | maxDepth = 3
2019-03-14 15:23:47.9552 | INFO | elChapters calculated
2019-03-14 15:23:47.9552 | INFO | AllChapters processed
2019-03-14 15:23:47.9577 | INFO | SetVisualParent
2019-03-14 15:23:47.9982 | INFO | We are created BookWithChaptersV2
2019-03-14 15:23:47.9982 | INFO | front model done
2019-03-14 15:25:08.5527 | INFO | Application start
2019-03-14 15:25:30.2194 | INFO | GetWithChaptersV2 id=160003
